sentence,span,type,uri,relation,question,gold givenName
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Pacini,person,(Q357022),given name,What is the given name of Pacini?,Giovanni
"Hummel's.wonderfak” ‘performance on the piano - forte made a ‘deep. impression upon young Mendelssohn, so much so, ‘that de burst. into tears when once asked, to play atter him.?",Hummel,person,(Q151953),given name,What is the given name of Hummel?,Nepomuk; Johann
"Hummel's.wonderfak” ‘performance on the piano - forte made a ‘deep. impression upon young Mendelssohn, so much so, ‘that de burst. into tears when once asked, to play atter him.?",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"About forty years ago the company of Italian singers, called the company of Monsieur (since Louis 18th), made the Parisians hear the divine accents of Paisiello and Pergolesi; but this company could not obtain the victory unassisted.",Paisiello,person,(Q202303),given name,What is the given name of Paisiello?,Giovanni; Cataldo; Gregorio
"About forty years ago the company of Italian singers, called the company of Monsieur (since Louis 18th), made the Parisians hear the divine accents of Paisiello and Pergolesi; but this company could not obtain the victory unassisted.",Pergolesi,person,(Q185312),given name,What is the given name of Pergolesi?,Giovanni; Battista
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Scarlatti,person,(Q167837),given name,What is the given name of Scarlatti?,Domenico
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Corelli,person,(Q164475),given name,What is the given name of Corelli?,Arcangelo
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Vivaldi,person,(Q1340),given name,What is the given name of Vivaldi?,Antonio; Lucio
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Jomelli,person,(Q312891),given name,What is the given name of Jomelli?,Niccolò
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Porpora,person,(Q312788),given name,What is the given name of Porpora?,Nicola
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Bononcini,person,(Q315241),given name,What is the given name of Bononcini?,Giovanni
"Dr. Burney says, ‘The first opera of Leo’s composition, that I have been able to find, is Sofonisba, which was performed at Naples, in 1718, and the last, Siface, in Bologne, in 1737.",Dr. Burney,person,(Q547002),given name,What is the given name of Dr. Burney?,Charles
"Dr. Burney says, ‘The first opera of Leo’s composition, that I have been able to find, is Sofonisba, which was performed at Naples, in 1718, and the last, Siface, in Bologne, in 1737.",Leo,person,(Q316735),given name,What is the given name of Leo?,Leonardo
"Besides the advantage of Cervetto as a master, our departed friend, Lindley, had also the opportunity, in his youth, of hearing and playing with Crosdill, whose powerful tone excelled that of any previous performer.",Cervetto,person,(Q1364637),given name,What is the given name of Cervetto?,Giacomo
"Besides the advantage of Cervetto as a master, our departed friend, Lindley, had also the opportunity, in his youth, of hearing and playing with Crosdill, whose powerful tone excelled that of any previous performer.",Lindley,person,(Q18593452),given name,What is the given name of Lindley?,Robert
"Besides the advantage of Cervetto as a master, our departed friend, Lindley, had also the opportunity, in his youth, of hearing and playing with Crosdill, whose powerful tone excelled that of any previous performer.",Crosdill,person,(Q6227740),given name,What is the given name of Crosdill?,John
"Under the auspices of the Society for the Cultivation of Danish Music, a composition, by Niels W. Gade, entitled ‘Baldur’s Dream,’ for solo voices, chorus, and orchestra, has just been published for the first time.",Niels W. Gade,person,(Q154632),given name,What is the given name of Niels W. Gade?,Niels; Wilhelm
"We had a lovely Quartet, in G, by Mozart, and Beethoven's Quintet in C, for stringed, instruments, In which Mr. Burxe played the first ‘violin, with his usual sweetness.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"We had a lovely Quartet, in G, by Mozart, and Beethoven's Quintet in C, for stringed, instruments, In which Mr. Burxe played the first ‘violin, with his usual sweetness.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"At the Opera we have‘had the “Prophet,” the fanchonette,” the ‘Lucia di Lammermoor,” and “the “Muette de Portici;” a night; each, of Mey erbecr, “Clapisson, Donizetti and Auber.",Mey erbecr,person,(Q105237),given name,What is the given name of Mey erbecr?,Giacomo
"At the Opera we have‘had the “Prophet,” the fanchonette,” the ‘Lucia di Lammermoor,” and “the “Muette de Portici;” a night; each, of Mey erbecr, “Clapisson, Donizetti and Auber.",Clapisson,person,(Q1871594),given name,What is the given name of Clapisson?,Louis
"At the Opera we have‘had the “Prophet,” the fanchonette,” the ‘Lucia di Lammermoor,” and “the “Muette de Portici;” a night; each, of Mey erbecr, “Clapisson, Donizetti and Auber.",Donizetti,person,(Q101698),given name,What is the given name of Donizetti?,Maria; Domenico; Gaetano
"At the Opera we have‘had the “Prophet,” the fanchonette,” the ‘Lucia di Lammermoor,” and “the “Muette de Portici;” a night; each, of Mey erbecr, “Clapisson, Donizetti and Auber.",Auber,person,(Q157672),given name,What is the given name of Auber?,Daniel
"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Fischer,person,(Q820692),given name,What is the given name of Fischer?,Johann
"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Abel,person,(Q168539),given name,What is the given name of Abel?,Carl; Friedrich
"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Cramer,person,(Q455212),given name,What is the given name of Cramer?,Johann
"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Crosdill,person,(Q6227740),given name,What is the given name of Crosdill?,John
"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Cervetto,person,(Q18529811),given name,What is the given name of Cervetto?,James
"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",John Christian Bach,person,(Q106641),given name,What is the given name of John Christian Bach?,Johann; Christian
"Inthe year 1720, there appeared a satirical work of ‘Benedetto Marcello, the celebrated author of thé Psalms, which gives a lively -picture of the musical drama at that period.",Benedetto Marcello,person,(Q312784),given name,What is the given name of Benedetto Marcello?,Benedetto
"another equally good Concert was given by the Gateshead Choral Society, in the Town Hall, Newcastle, on the 17th ult., when Handel's ‘Israel in Egypt”? was performed, under the direction of Mr. J. M. Preston.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"Hear Haydn, or Mozart, or Beethoven, or Bach, or Hummel —indeed there is a host of writers unknoiwn to fame, who might be named — hear their masses.",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"Hear Haydn, or Mozart, or Beethoven, or Bach, or Hummel —indeed there is a host of writers unknoiwn to fame, who might be named — hear their masses.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
