sentence,span,type,uri,relation,question,gold CoC
"When Pugnani and Viotti quitted St. Petersburg, where they had been loaded with favours by Catherine the Second, they paid a visit to Berlin, at the time that our violinist was in possession of the public favour.",Pugnani,person,(Q560926),country of citizenship,What is the country of citizenship of Pugnani?,
"When Pugnani and Viotti quitted St. Petersburg, where they had been loaded with favours by Catherine the Second, they paid a visit to Berlin, at the time that our violinist was in possession of the public favour.",Viotti,person,(Q313188),country of citizenship,What is the country of citizenship of Viotti?,Kingdom of Sardinia
"When Pugnani and Viotti quitted St. Petersburg, where they had been loaded with favours by Catherine the Second, they paid a visit to Berlin, at the time that our violinist was in possession of the public favour.",Catherine the Second,person,(Q36450),country of citizenship,What is the country of citizenship of Catherine the Second?,Kingdom of Prussia; Russian Empire
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Méhul,person,(Q364020),country of citizenship,What is the country of citizenship of Méhul?,France
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Spohr,person,(Q57226),country of citizenship,What is the country of citizenship of Spohr?,Duchy of Brunswick
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Hummel,person,(Q151953),country of citizenship,What is the country of citizenship of Hummel?,Austria
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Cherubini,person,(Q20721),country of citizenship,What is the country of citizenship of Cherubini?,France; United Kingdom; Grand Duchy of Tuscany
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Pergolesi,person,(Q185312),country of citizenship,What is the country of citizenship of Pergolesi?,Papal States
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Cimarosa,person,(Q191775),country of citizenship,What is the country of citizenship of Cimarosa?,Republic of Venice
"It was divided into three parts; the first cousisted of one act of the “Creation,” the second and third of miscellaneous selections from the works of Handel, Méhul, Spohr, Hummel, Cherubini, _ Mozart, Pergolesi, Cimarosa and Pacini",Pacini,person,(Q357022),country of citizenship,What is the country of citizenship of Pacini?,Kingdom of Italy
"Hummel's.wonderfak” ‘performance on the piano - forte made a ‘deep. impression upon young Mendelssohn, so much so, ‘that de burst. into tears when once asked, to play atter him.?",Hummel,person,(Q151953),country of citizenship,What is the country of citizenship of Hummel?,Austria
"Hummel's.wonderfak” ‘performance on the piano - forte made a ‘deep. impression upon young Mendelssohn, so much so, ‘that de burst. into tears when once asked, to play atter him.?",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"About forty years ago the company of Italian singers, called the company of Monsieur (since Louis 18th), made the Parisians hear the divine accents of Paisiello and Pergolesi; but this company could not obtain the victory unassisted.",Paisiello,person,(Q202303),country of citizenship,What is the country of citizenship of Paisiello?,Kingdom of Naples
"About forty years ago the company of Italian singers, called the company of Monsieur (since Louis 18th), made the Parisians hear the divine accents of Paisiello and Pergolesi; but this company could not obtain the victory unassisted.",Pergolesi,person,(Q185312),country of citizenship,What is the country of citizenship of Pergolesi?,Papal States
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Scarlatti,person,(Q167837),country of citizenship,What is the country of citizenship of Scarlatti?,Kingdom of Naples; Kingdom of Spain
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Corelli,person,(Q164475),country of citizenship,What is the country of citizenship of Corelli?,Papal States
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Vivaldi,person,(Q1340),country of citizenship,What is the country of citizenship of Vivaldi?,Republic of Venice
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Bach,person,(Q1339),country of citizenship,What is the country of citizenship of Bach?,Holy Roman Empire; Saxe-Eisenach
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Jomelli,person,(Q312891),country of citizenship,What is the country of citizenship of Jomelli?,Kingdom of Naples
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Porpora,person,(Q312788),country of citizenship,What is the country of citizenship of Porpora?,Kingdom of Naples
"Scarlatti was the next composer of overtures. Then followed the Concerti grossi of Corelli and Vivaldi, and lastly the concertos and overtures of Handel, Bach, Jomelli, Porpora, and Bononcini, with others of less note.",Bononcini,person,(Q315241),country of citizenship,What is the country of citizenship of Bononcini?,
"Dr. Burney says, ‘The first opera of Leo’s composition, that I have been able to find, is Sofonisba, which was performed at Naples, in 1718, and the last, Siface, in Bologne, in 1737.",Dr. Burney,person,(Q547002),country of citizenship,What is the country of citizenship of Dr. Burney?,United Kingdom of Great Britain and Ireland
"Dr. Burney says, ‘The first opera of Leo’s composition, that I have been able to find, is Sofonisba, which was performed at Naples, in 1718, and the last, Siface, in Bologne, in 1737.",Leo,person,(Q316735),country of citizenship,What is the country of citizenship of Leo?,
"Besides the advantage of Cervetto as a master, our departed friend, Lindley, had also the opportunity, in his youth, of hearing and playing with Crosdill, whose powerful tone excelled that of any previous performer.",Cervetto,person,(Q1364637),country of citizenship,What is the country of citizenship of Cervetto?,
"Besides the advantage of Cervetto as a master, our departed friend, Lindley, had also the opportunity, in his youth, of hearing and playing with Crosdill, whose powerful tone excelled that of any previous performer.",Lindley,person,(Q18593452),country of citizenship,What is the country of citizenship of Lindley?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Besides the advantage of Cervetto as a master, our departed friend, Lindley, had also the opportunity, in his youth, of hearing and playing with Crosdill, whose powerful tone excelled that of any previous performer.",Crosdill,person,(Q6227740),country of citizenship,What is the country of citizenship of Crosdill?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
